Voyage No.	SN	Date	Time	Activity
1	1	2026-01-25	04:30 Hrs	Vessel released from shipping and sailed to MZP anchorage to berth on 26 Jan 2026 as requested by SCT.
1	2	2026-01-26	06:00 Hrs	Vessel remained at anchorage as Berth wasn’t secured
1	3	2026-01-27	17:38 Hrs	Bushra Berthed at MZP RoRo Berth No. 5
1	4	2026-01-28	17:00 Hrs	Grillage, stools installed and welding completed onboard Bushra.
1	5	2026-01-31	10:30 Hrs	Loading Permission received by MZP Harbor Master.
1	6	2026-01-31	11:00 Hrs	Loading TR No. 1 Completed
1	7	2026-01-31	20:36 Hrs	MWS Sail away certificate was received Bushra Cast off MZP
1	8	2026-02-01	06:00 Hrs	Bushra Dropped anchor at Al Ghallan Anchorage waiting for Berth
1	9	2026-02-03	05:00 Hrs	MMT team travelled from Mina Port to AGI for TR No. 1 offloading
1	10	2026-02-04	16:06 Hrs	Bushra Berthed alongside West RoRo Berth No. 3 at AGI
1	11	2026-02-04	20:30 Hrs	J62 arrived to AGI with Lifting clamps for TR No. 1 offloading
1	12	2026-02-08	11:00 Hrs	Tr No. 1 Offloaded at AGI
1	13	2026-02-08	14:38 Hrs	Bushra Sailed from AGI
1	14	2026-02-08	22:42 Hrs	Bushra dropped anchor at MZP anchorage waiting for berth 
2	1	2026-02-08	22:42 Hrs	Bushra dropped anchor at MZP anchorage waiting for berth 
2	2	2026-02-09	21:18 Hrs	Bushra secured berth no. 5 MZP
2	3	2026-02-10		Adverse weather
2	4	2026-02-11		Fog, MZP operations is suspended
2	5	2026-02-12	08:22 Hrs	2nd TR loaded onboard Bushra
2	6	2026-02-12	11:56 Hrs	Lashing completed
2	7	2026-02-12	15:00 Hrs	Bushra Cast off MZP
2	8	2026-02-13	10:42 Hrs	Bushra secured A/S AGI
2	9	2026-02-13	14:30 Hrs	2nd TR offloaded at AGI
2	10	2026-02-13	15:42 Hrs	Bushra cast off from AGI
2	11	2026-02-13	22:24 Hrs	Bushra Arrived to MZP anchorage.
3	1	2026-02-13	22:24 Hrs	Bushra Arrived to MZP anchorage.
3	2	2026-02-15	20:06 Hrs	Bushra heave-up her anchor to enter MZP,Vessel was waiting as berth was occupied by Comarco Palma.However, Pilot couldn’t board the vessel due to Bad weather.Vessel back to Anchorage.
3	3	2026-02-16	08:06 Hrs	Bushra Drop Anchor at MZP anchorage ,MZP operations are suspended due to adverse weather.
3	4	2026-02-17	12:30 Hrs	Bushra Heave up her anchor to enter MZP
3	5	2026-02-17	14:24 Hrs	Bushra Secured A/S Berth No. 5 MZP
3	6	2026-02-18	14:34 Hrs	3rd Tr loaded onboard Bushra
3	7	2026-02-19	00:00 Hrs	Bushra Cast off MZP 
3	8	2026-02-19	10:36 Hrs	Bushra secured A/S AGI
3	9	2026-02-19	17:54 Hrs	3rd Tr offloaded at AGI
3	10	2026-02-19	21:06 Hrs	Bushra cast off from AGI
3	11	2026-02-20	05:18 Hrs	Bushra Arrived to MZP anchorage.
4	1	2026-02-20	05:18 Hrs	Bushra Arrived to MZP anchorage.
4	2	2026-02-23	19:12 Hrs	Bushra heave-up her anchor to enter MZP ,Vessel was waiting as berth was occupied
4	3	2026-02-23	23:12 Hrs	Bushra Secured A/S Berth No. 5 MZP
4	4	2026-02-25	08:01 Hrs	4th Tr loaded onboard Bushra
4	5	2026-02-27	08:42 Hrs	Bushra Cast off MZP,Previous days vessel was waiting on weather
4	6	2026-02-27	19:42 Hrs	Bushra dropped anchor at Al Ghallan Anchorage
4	7	2026-02-28	07:12 Hrs	Bushra secured A/S AGI Berth No. 3
4	8	2026-03-02	16:00 Hrs	4th Tr offloaded at AGI,Previous days, outdoor work was stopped due to regional tension.
4	9	2026-03-02	17:08 Hrs	Completed back load linkspan and lashing
4	10	2026-03-02	19:00 Hrs	Bushra is standby due to 1. Adverse Weather (ETD 07 March 2026),2. Support Evacuation and emergency response.
